query,label
"Where are the logs?",0
"staging server IP",0
"show me config.json",0
"Who owns the production DB?",0
"db port",0
"where is docker-compose.yml?",0
"what is the staging db name?",0
"staging server credentials location",0
"support email contact",0
"last git commit hash",0
"find redis.conf",0
"where is the API key stored?",0
"show indexer.py",0
"file path of the database schema",0
"check server status",0
"display table list",0
"list files in data/",0
"who is the devops engineer?",0
"location of ssl certificates",0
"staging deployment logs URL",0
"what is the version of python we use?",0
"show dev env setup commands",0
"list all user roles in system",0
"database backup path",0
"who modified the config last?",0
"where's the frontend code?",0
"how do i run main.py?",0
"print environment variables",0
"check disk usage of server",0
"get local database size",0
"find the readme file",0
"staging server ssh key path",0
"backend port number?",0
"who wrote retrieval.py?",0
"where are the test files?",0
"staging health check endpoint",0
"is postgres running?",0
"current time on server",0
"check sqlite WAL mode status",0
"show database migrations",0
"where is python installed?",0
"list active docker containers",0
"backend repo url",0
"database filename in database.py",0
"find package.json",0
"show test.db tables",0
"search for database connections",0
"staging redis port",0
"query size limit in database",0
"where do we save weights?",0
"show me git branches",0
"list all docs",0
"get doc_id from path",0
"show chunk_text column",0
"select file_hash from docs",0
"check cpu usage",0
"where are media files?",0
"read settings.py",0
"locate error logs",0
"show config template",0
"api docs url",0
"staging server timezone",0
"check if redis is up",0
"list schemas",0
"sqlite file size",0
"where is indexer logs?",0
"get row count of docs table",0
"find indexer.py file path",0
"show last row inserted in chunks",0
"staging docker config",0
"check system memory",0
"find credentials.env",0
"show error log file size",0
"database host name",0
"local server host url",0
"list tables in sqlite",0
"where are model files cached?",0
"sentence transformer cache directory",0
"show db structure",0
"staging api key file",0
"staging admin password",0
"find prod url",0
"who has database access?",0
"list tables",0
"show docs schema",0
"is postgres running locally?",0
"locate indexer script",0
"where is .gitignore?",0
"python version check command",0
"staging server login",0
"show doc_id 5",0
"list all text files",0
"what folder contains data files?",0
"staging backend url",0
"credentials for redis",0
"get table count",0
"check git status",0
"find main.py file",0
"show docs table columns",0
"where do I put new documents?",0
"last indexed document",0
"list of docs in database",0
"select * from docs limit 5;",0
"check port 5432 status",0
"path to sqlite database",0
"docker compose file location",0
"locate retrieval module",0
"find database.py",0
"read config settings",0
"staging dev environment logs",0
"check disk space on staging",0
"where are the sentence embeddings stored?",0
"how to run indexing?",0
"print database connection string",0
"who is the db administrator?",0
"find test.db path",0
"check local environment setup",0
"staging server ssh command",0
"show error log path",0
"show tables in database",0
"select file_path from docs where id = 1",0
"who created indexer.py?",0
"where is python cache?",0
"show git logs",0
"locate indexer.py on disk",0
"is redis service running?",0
"current system time",0
"where do we store weights?",0
"check sqlite journal mode",0
"what model do we use?",0
"check memory usage of server",0
"staging api token",0
"list schemas of DB",0
"read database.py line 10",0
"find setup instructions",0
"staging server location",0
"last run time of indexer",0
"list files in workspace",0
"show indexing metrics",0
"who has access to staging?",0
"how to test retrieval?",0
"find settings.json",0
"locate backup folder",0
"database user list",0
"docker service check",0
"find env file",0
"show chunks schema",0
"get total chunks count",0
"select count(*) from chunks;",0
"check database file size",0
"where is sqlite installed?",0
"show git branch names",0
"locate docker configuration",0
"check backend health check",0
"database port staging",0
"config.yaml file path",0
"find package-lock.json",0
"staging domain name",0
"check network status",0
"is test.db locked?",0
"how to start dev server?",0
